area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Built-up  Area,5th Block Hbr Layout,3600.0,5.0,3.0,130.0,5,3611.0
Built-up  Area,5th Block Hbr Layout,5100.0,5.0,3.0,300.0,6,5882.0
Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.0
Built-up  Area,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2,4565.0
Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2,5000.0
Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2,5220.0
Built-up  Area,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3,5797.0
Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2,4167.0
Built-up  Area,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3,5882.0
Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,0.0,110.0,5,4400.0
Built-up  Area,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1,5000.0
Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2,4676.0
Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2,5000.0
Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2,4800.0
Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3,5556.0
Super built-up  Area,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1,4257.0
Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2,4250.0
Built-up  Area,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2,5534.0
Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2,5667.0
Built-up  Area,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2,5193.0
Super built-up  Area,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5,4250.0
Super built-up  Area,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2,4907.0
Super built-up  Area,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2,5187.0
Super built-up  Area,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2,5172.0
Built-up  Area,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2,5644.0
Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.0
Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.0
Super built-up  Area,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2,6780.0
Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,0.0,250.0,4,7704.0
Built-up  Area,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3,6079.0
Built-up  Area,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2,5702.0
Super built-up  Area,6th Phase JP Nagar,2040.0,3.0,0.0,200.0,3,9804.0
Super built-up  Area,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2,5194.0
Built-up  Area,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2,4934.0
Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,0.0,80.0,2,5479.0
Super built-up  Area,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3,9985.0
Super built-up  Area,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3,7238.0
Super built-up  Area,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3,8911.0
Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2,6292.0
Super built-up  Area,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2,6875.0
Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6667.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7323.0
Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.0
Built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,8108.0
Built-up  Area,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,7550.0
Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,6979.0
Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6786.0
Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3,7191.0
Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2,6762.0
Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2,4182.0
Built-up  Area,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2,5500.0
Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3,6897.0
Super built-up  Area,7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2,4200.0
Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3,6761.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7143.0
Super built-up  Area,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2,7041.0
Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2,6102.0
Built-up  Area,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3,8214.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2,6535.0
Super built-up  Area,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4,7511.0
Super built-up  Area,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3,8636.0
Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3,7568.0
Built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3,7619.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3,8108.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7143.0
Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.0
Super built-up  Area,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2,7407.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7143.0
Super built-up  Area,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3,6856.0
Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2,6460.0
Super built-up  Area,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3,6897.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2,4762.0
Super built-up  Area,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2,6824.0
Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3,6667.0
Built-up  Area,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2,4941.0
Built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,8108.0
Super built-up  Area,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2,4962.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2,5300.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.0
Super built-up  Area,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3,8060.0
Super built-up  Area,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2,4971.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3,8378.0
Built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2,6100.0
Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3,6849.0
Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3,6667.0
Super built-up  Area,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2,5208.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2,7065.0
Super built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2,6944.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3,7440.0
Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3,6644.0
Built-up  Area,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2,5804.0
Super built-up  Area,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2,5455.0
Super built-up  Area,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,6704.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,7333.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7143.0
Super built-up  Area,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2,7212.0
Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6786.0
Super built-up  Area,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3,7222.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2,6476.0
Built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2,6000.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2,7378.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2,6299.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3,7262.0
Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2,7522.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3,7738.0
Built-up  Area,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2,7902.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3,6667.0
Super built-up  Area,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3,7160.0
Super built-up  Area,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3,7338.0
Super built-up  Area,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3,6875.0
Super built-up  Area,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3,6686.0
Built-up  Area,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3,6902.0
Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3,7034.0
Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.0
Super built-up  Area,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1,6267.0
Super built-up  Area,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2,5051.0
Plot  Area,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1,6000.0
Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3,7133.0
Super built-up  Area,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2,5319.0
Built-up  Area,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2,5000.0
Super built-up  Area,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3,6338.0
Super built-up  Area,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2,7059.0
Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5031.0
Super built-up  Area,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1,6630.0
Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0
Super built-up  Area,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3,5038.0
Super built-up  Area,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2,6315.0
Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2,3999.0
Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3,4444.0
Built-up  Area,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4,4815.0
Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2,3519.0
Super built-up  Area,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2,3258.0
Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2,3241.0
Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0
Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1,6200.0
Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2,3182.0
Super built-up  Area,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4,4381.0
Super built-up  Area,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,3800.0
Super built-up  Area,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2,4499.0
Super built-up  Area,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3,5031.0
Built-up  Area,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3,4737.0
Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1,6000.0
Super built-up  Area,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2,3284.0
Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2,3182.0
Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0
Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3,5519.0
Built-up  Area,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4,4423.0
Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0
Super built-up  Area,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2,4098.0
Built-up  Area,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2,4545.0
Built-up  Area,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2,4374.0
Carpet  Area,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1,6600.0
Super built-up  Area,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2,8190.0
Super built-up  Area,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2,4739.0
Super built-up  Area,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2,5298.0
Super built-up  Area,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3,5000.0
Built-up  Area,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5,4335.0
Super built-up  Area,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2,4589.0
Super built-up  Area,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3,5682.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.0
Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2,5909.0
Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2,3426.0
Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2,4348.0
Built-up  Area,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4,5800.0
Built-up  Area,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2,4811.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2,4179.0
Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2,4437.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2,4279.0
Built-up  Area,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2,4431.0
Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2,3714.0
Super built-up  Area,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2,4091.0
Built-up  Area,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1,3333.0
Super built-up  Area,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2,4843.0
Built-up  Area,9th Phase JP Nagar,1890.0,2.0,0.0,93.0,3,4921.0
Super built-up  Area,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2,5561.0
Super built-up  Area,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2,5405.0
Plot  Area,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2,6667.0
Super built-up  Area,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2,3536.0
Super built-up  Area,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2,4880.0
Super built-up  Area,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3,5118.0
Super built-up  Area,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3,4944.0
Super built-up  Area,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3,5913.0
Built-up  Area,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2,5056.0
Built-up  Area,9th Phase JP Nagar,5000.0,4.0,0.0,300.0,4,6000.0
Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2,3333.0
Super built-up  Area,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,5180.0
Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2,4091.0
Super built-up  Area,AECS Layout,1028.0,2.0,1.0,42.0,2,4086.0
Super built-up  Area,AECS Layout,1199.0,2.0,2.0,65.0,2,5421.0
Super built-up  Area,AECS Layout,1080.0,2.0,2.0,55.0,2,5093.0
Super built-up  Area,AECS Layout,1123.0,2.0,2.0,64.0,2,5699.0
Super built-up  Area,AECS Layout,1308.0,2.0,1.0,60.0,2,4587.0
Super built-up  Area,AECS Layout,1005.0,2.0,1.0,55.0,2,5473.0
Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2,4101.0
Built-up  Area,Abbigere,2200.0,6.0,2.0,68.0,6,3091.0
Super built-up  Area,Abbigere,765.0,2.0,2.0,30.0,1,3922.0
Super built-up  Area,Abbigere,880.0,2.0,1.0,35.0,2,3977.0
Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2,4093.0
Super built-up  Area,Abbigere,1005.0,2.0,1.0,39.59,2,3939.0
Super built-up  Area,Abbigere,734.0,1.0,0.0,19.82,1,2700.0
Super built-up  Area,Abbigere,1020.0,2.0,1.0,41.82,2,4100.0
Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2,4101.0
Built-up  Area,Abbigere,2500.0,6.0,0.0,81.0,6,3240.0
Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2,4093.0
Super built-up  Area,Abbigere,1130.0,2.0,1.0,46.33,2,4100.0
Super built-up  Area,Abbigere,795.0,1.0,1.0,32.6,2,4101.0
Built-up  Area,Abbigere,3000.0,8.0,0.0,150.0,8,5000.0
Super built-up  Area,Abbigere,985.0,2.0,1.0,38.92,2,3951.0
Super built-up  Area,Abbigere,1000.0,2.0,1.0,41.0,2,4100.0
Super built-up  Area,Abbigere,995.0,2.0,1.0,40.8,2,4101.0
Super built-up  Area,Abbigere,1020.0,2.0,1.0,40.8,2,4000.0
Super built-up  Area,Akshaya Nagar,1388.0,2.0,3.0,57.0,2,4107.0
Super built-up  Area,Akshaya Nagar,1070.0,2.0,1.0,54.0,2,5047.0
Built-up  Area,Akshaya Nagar,1280.0,2.0,0.0,58.0,2,4531.0
Built-up  Area,Akshaya Nagar,1662.0,3.0,3.0,85.1,3,5120.0
Super built-up  Area,Akshaya Nagar,1897.0,3.0,2.0,120.0,3,6326.0
Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,75.0,3,5319.0
Super built-up  Area,Akshaya Nagar,1360.0,2.0,2.0,85.0,3,6250.0
Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,80.0,3,5674.0
Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.0,3,5114.0
Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.5,3,5144.0
Built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4688.0
Built-up  Area,Akshaya Nagar,1666.0,3.0,0.0,95.0,3,5702.0
Super built-up  Area,Akshaya Nagar,1575.0,3.0,0.0,90.0,3,5714.0
Super built-up  Area,Akshaya Nagar,1430.0,2.0,2.0,75.0,3,5245.0
Built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.0
Super built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4688.0
Super built-up  Area,Akshaya Nagar,1200.0,2.0,1.0,50.0,2,4167.0
Super built-up  Area,Akshaya Nagar,1092.0,2.0,1.0,60.0,2,5495.0
Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5030.0
Super built-up  Area,Akshaya Nagar,1897.0,4.0,2.0,93.0,3,4902.0
Super built-up  Area,Akshaya Nagar,1884.0,3.0,3.0,98.0,3,5202.0
Super built-up  Area,Akshaya Nagar,1314.0,2.0,2.0,68.8,2,5236.0
Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5030.0
Super built-up  Area,Akshaya Nagar,1265.0,2.0,3.0,67.0,2,5296.0
Super built-up  Area,Akshaya Nagar,1126.0,2.0,1.0,55.0,2,4885.0
Super built-up  Area,Akshaya Nagar,1662.0,3.0,0.0,90.0,3,5415.0
Super built-up  Area,Akshaya Nagar,1420.0,2.0,2.0,75.0,3,5282.0
Super built-up  Area,Akshaya Nagar,1412.0,2.0,3.0,88.0,3,6232.0
Built-up  Area,Akshaya Nagar,1434.0,3.0,3.0,84.0,3,5858.0
Super built-up  Area,Akshaya Nagar,1890.0,4.0,2.0,100.0,3,5291.0
Super built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,87.0,3,6131.0
Super built-up  Area,Akshaya Nagar,1300.0,2.0,1.0,54.0,2,4154.0
Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5030.0
Super built-up  Area,Akshaya Nagar,1113.0,2.0,1.0,52.0,2,4672.0
Super built-up  Area,Akshaya Nagar,1820.0,4.0,2.0,95.0,3,5220.0
Super built-up  Area,Akshaya Nagar,1100.0,2.0,2.0,48.0,2,4364.0
Super built-up  Area,Akshaya Nagar,1896.0,3.0,2.0,102.0,3,5380.0
Super built-up  Area,Akshaya Nagar,1300.0,2.0,2.0,66.0,2,5077.0
Super built-up  Area,Akshaya Nagar,1225.0,2.0,0.0,68.0,2,5551.0
Super built-up  Area,Akshaya Nagar,1179.0,2.0,1.0,51.0,2,4326.0
Super built-up  Area,Akshaya Nagar,1421.0,2.0,2.0,73.0,3,5137.0
Super built-up  Area,Akshaya Nagar,1893.0,4.0,2.0,95.0,3,5018.0
Built-up  Area,Akshaya Nagar,900.0,2.0,1.0,45.0,2,5000.0
Super built-up  Area,Ambalipura,1105.0,2.0,1.0,75.0,2,6787.0
Super built-up  Area,Ambalipura,1800.0,3.0,3.0,110.0,3,6111.0
Built-up  Area,Ambalipura,1150.0,2.0,2.0,80.0,2,6957.0
Super built-up  Area,Ambalipura,1250.0,2.0,2.0,66.25,2,5300.0
Super built-up  Area,Ambalipura,1332.0,2.0,1.0,79.0,2,5931.0
Super built-up  Area,Ambalipura,1730.0,3.0,1.0,120.0,3,6936.0
Super built-up  Area,Ambalipura,1230.0,2.0,2.0,66.25,2,5386.0
Super built-up  Area,Ambalipura,1351.0,2.0,1.0,77.0,2,5699.0
Super built-up  Area,Ambalipura,1303.0,2.0,2.0,80.0,2,6140.0
Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3,6970.0
Super built-up  Area,Ambalipura,770.0,1.0,2.0,43.82,1,5691.0
Super built-up  Area,Ambalipura,1700.0,2.0,2.0,76.0,2,4471.0
Super built-up  Area,Ambalipura,1060.0,2.0,1.0,58.5,2,5519.0
Built-up  Area,Ambalipura,1650.0,3.0,3.0,100.0,3,6061.0
Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3,6970.0
Super built-up  Area,Ambalipura,1198.0,2.0,2.0,80.0,2,6678.0
Super built-up  Area,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3,6718.0
Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2,6320.0
Super built-up  Area,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3,7596.0
